Name,URL
ccbogel/QualCoder,https://github.com/ccbogel/QualCoder
trinker/qdap,https://github.com/trinker/qdap
Ronggui/RQDA,https://github.com/Ronggui/RQDA
chrisgrieser/obsidian-quadro,https://github.com/chrisgrieser/obsidian-quadro
PerttuHamalainen/LLMCode,https://github.com/PerttuHamalainen/LLMCode
FuSiry/Open-Nirs-Datasets,https://github.com/FuSiry/Open-Nirs-Datasets
Gamma-Software/llm_qualitative_data_analysis,https://github.com/Gamma-Software/llm_qualitative_data_analysis
RQDA/RQDA,https://github.com/RQDA/RQDA
andersjohansson/orgqda,https://github.com/andersjohansson/orgqda
jbryer/ShinyQDA,https://github.com/jbryer/ShinyQDA
openqda/openqda,https://github.com/openqda/openqda
uidaholib/oral-history-as-data,https://github.com/uidaholib/oral-history-as-data
RE-QDA/requal,https://github.com/RE-QDA/requal
jdittrich/Office-QDA-TagTree,https://github.com/jdittrich/Office-QDA-TagTree
muctadir/lama,https://github.com/muctadir/lama
gismo141/fastQDA,https://github.com/gismo141/fastQDA
kamruleee51/MRI-Pre-processing,https://github.com/kamruleee51/MRI-Pre-processing
barichello/openQDA,https://github.com/barichello/openQDA
marcgarnica13/ml-interpretability-european-football,https://github.com/marcgarnica13/ml-interpretability-european-football
paigerodeghero/TigerDataCoding,https://github.com/paigerodeghero/TigerDataCoding
dohliam/thematic-analysis,https://github.com/dohliam/thematic-analysis
BigSoftVideo/AVA360VR,https://github.com/BigSoftVideo/AVA360VR
tanmaybasu/Qualitative-Text-Analysis-of-Healthcare-Data-Using-NLP,https://github.com/tanmaybasu/Qualitative-Text-Analysis-of-Healthcare-Data-Using-NLP
MandM-DataScience/company_valuation,https://github.com/MandM-DataScience/company_valuation
chawlasahaj/qualitative-topic-modelling,https://github.com/chawlasahaj/qualitative-topic-modelling
jailop/gQDA,https://github.com/jailop/gQDA
FrdVnW/dockerqda,https://github.com/FrdVnW/dockerqda
mpecchi/gcms_data_analysis,https://github.com/mpecchi/gcms_data_analysis
mdivyashankar/MitH--Predict-the-Customer-life-time-value-for-an-auto-insurance-company,https://github.com/mdivyashankar/MitH--Predict-the-Customer-life-time-value-for-an-auto-insurance-company
vmussa/qualitube,https://github.com/vmussa/qualitube
obehave-qda/obehave,https://github.com/obehave-qda/obehave
uviclibraries/nvivo,https://github.com/uviclibraries/nvivo
chpir/stem,https://github.com/chpir/stem
caalh/Nuclear-Reactor-Database-Dataframe-Anlaysis-Program,https://github.com/caalh/Nuclear-Reactor-Database-Dataframe-Anlaysis-Program
AndreasFischer1985/quantqual,https://github.com/AndreasFischer1985/quantqual
LauLauThom/Fiji-QualiAnnotations,https://github.com/LauLauThom/Fiji-QualiAnnotations
dlab-berkeley/MAXQDA-Fundamentals,https://github.com/dlab-berkeley/MAXQDA-Fundamentals
AlexShermon/RCS-NVivo,https://github.com/AlexShermon/RCS-NVivo
IP-TECH/JQuarks4S,https://github.com/IP-TECH/JQuarks4S
liciamargarete/Machine-Vision-Systems-Market-to-2025---Global-Analysis-and-Forecasts-by-Type-Components-End-users,https://github.com/liciamargarete/Machine-Vision-Systems-Market-to-2025---Global-Analysis-and-Forecasts-by-Type-Components-End-users
CUNY-epibios/PUBH614,https://github.com/CUNY-epibios/PUBH614
VincentOracle/Nvivo-Qualitative-Analysis-,https://github.com/VincentOracle/Nvivo-Qualitative-Analysis-
itcarroll/ShAQDAS,https://github.com/itcarroll/ShAQDAS
YuChenAmberLu/Data-Science--Credit-Card-Default,https://github.com/YuChenAmberLu/Data-Science--Credit-Card-Default
LD-Lyndee/scQA,https://github.com/LD-Lyndee/scQA
cran/RQDA,https://github.com/cran/RQDA
lc-at/pytag,https://github.com/lc-at/pytag
MobileCommerceLab/RQDA-RStudio-sshd,https://github.com/MobileCommerceLab/RQDA-RStudio-sshd
J0-Y0/stock_market_data_analysis,https://github.com/J0-Y0/stock_market_data_analysis
Psychizzy/Sentiment-Analysis-Google-Play,https://github.com/Psychizzy/Sentiment-Analysis-Google-Play
AlMustafa90/Data-Science-Project-Employment-Challenges-and-Barriers-Facing-Refugees-in-Egyp,https://github.com/AlMustafa90/Data-Science-Project-Employment-Challenges-and-Barriers-Facing-Refugees-in-Egyp
robertour/RQDA-to-CSV,https://github.com/robertour/RQDA-to-CSV
hmadmosama/Udacity-DataProductManager,https://github.com/hmadmosama/Udacity-DataProductManager
sfellahi/adalys-health-monitoring,https://github.com/sfellahi/adalys-health-monitoring
sanyaade-machine-learning/Transana, https://github.com/sanyaade-machine-learning/Transana